title,price,size,resolution,brand,rating
Телевизор SAMSUNG QLED QE75QN800AUXCE 8K SMART,2799990,75,8K (7680 x 4320),SAMSUNG,0
Телевизор SONY LED KD50X81JR UHD SMART,499990,50,4К UHD (3840x2160),SONY,0
Телевизор SONY OLED XR55A80JCEP,1199990,55,4К UHD (3840x2160),SONY,0
Телевизор LG LED 50UP81006LA UHD SMART,299990,50,4К UHD (3840x2160),LG,0
Телевизор LG OLED55A1RLA,649990,55,4К UHD (3840x2160),LG,0
Телевизор SAMSUNG LED UE85AU7100UXCE UHD SMART,1149990,85,4К UHD (3840x2160),SAMSUNG,0
Телевизор SAMSUNG LED UE85AU8000UXCE UHD SMART,1299990,85,4К UHD (3840x2160),SAMSUNG,0
Телевизор LG NanoCell 75NANO926PB UHD SMART,1399990,75,4К UHD (3840x2160),LG,0
Телевизор LG NanoCell 50NANO806PA UHD SMART,419990,50,4К UHD (3840x2160),LG,0
Телевизор SONY OLED XR65A90JCEP,1999990,65,4К UHD (3840x2160),SONY,0
Телевизор SAMSUNG LED UE55AU8000UXCE UHD SMART,399990,55,4К UHD (3840x2160),SAMSUNG,0
Телевизор SAMSUNG LED UE43TU7090UXCE UHD SMART,229990,43,4К UHD (3840x2160),SAMSUNG,0
Телевизор SAMSUNG LED UE65AU7500UXCE UHD SMART,484990,65,4К UHD (3840x2160),SAMSUNG,0
Телевизор SAMSUNG QLED QE43Q60AAUXCE UHD SMART,339990,43,4К UHD (3840x2160),SAMSUNG,0
Телевизор SAMSUNG QLED QE85QN900AUXCE 8K SMART,5899990,85,8K (7680 x 4320),SAMSUNG,0
Телевизор LG OLED65G1RLA,1599990,65,4К UHD (3840x2160),LG,0
Телевизор LG NanoCell 55NANO866PA UHD SMART,529990,55,4К UHD (3840x2160),LG,0
Телевизор SAMSUNG LED UE65AU8000UXCE UHD SMART,529990,65,4К UHD (3840x2160),SAMSUNG,0
Телевизор SAMSUNG LED UE75AU8000UXCE UHD SMART,849990,75,4К UHD (3840x2160),SAMSUNG,0
Телевизор SAMSUNG LED UE75AU7100UXCE UHD SMART,739990,75,4К UHD (3840x2160),SAMSUNG,0
Телевизор LG OLED65C1RLA,1299990,65,4К UHD (3840x2160),LG,0
Телевизор LED KIVI 50 U 710KB,229890,50,4К UHD (3840x2160),KIVI,5
Телевизор LED KIVI 55 U 710KB,239890,55,4К UHD (3840x2160),KIVI,5
Телевизор QLED SAMSUNG QE 82 Q800TAUXCE,3799990,82,8K (7680 x 4320),SAMSUNG,0
Телевизор QLED SAMSUNG QE 75 Q80TAUXCE,1249990,75,4К UHD (3840x2160),SAMSUNG,0
Телевизор QLED SAMSUNG QE 65 Q800TAUXCE,1999990,65,8K (7680 x 4320),SAMSUNG,5
Телевизор LED SAMSUNG QE 65 LS 03TAUXCE,869990,65,4К UHD (3840x2160),SAMSUNG,0
Телевизор LED SAMSUNG QE 55 LS 03TAUXCE,609990,55,4К UHD (3840x2160),SAMSUNG,0
Телевизор LED KIVI 40 U 600GR,159890,40,4К UHD (3840x2160),KIVI,5
Телевизор LED SONY KDL 32 WD603,199990,32,HD (1366х768),SONY,0
Телевизор LED TCL 55P725 (4K Smart),279990,55,4К UHD (3840x2160),TCL,0
Телевизор SONY LED KD43X85TJCEP UHD SMART,479990,43,4К UHD (3840x2160),SONY,0
Телевизор LG NanoCell 65NANO806PA UHD SMART,629990,65,4К UHD (3840x2160),LG,0
Телевизор SONY LED KD65X85TJCEP UHD SMART,829990,65,4К UHD (3840x2160),SONY,0
Телевизор SONY LED XR75X95JCEP UHD SMART,1599990,75,4К UHD (3840x2160),SONY,0
